theta,epsilon,cvp_success,cvp_N_D,cvp_wall,cvp_f_hit,cvp_achieved_frob,cvp_f_start,cvp_f_levels_tried,hrsa_N_D,hrsa_method,hrsa_f,hrsa_wall,hrsa_theta_diff,notes
0.0500000000,1.000000e-02,1,110,16.051,8,2.522945e-03,7,"7,8",27,HRSA(f=3),6,356.86,0.0050,
0.5000000000,1.000000e-02,1,117,6.683,7,1.807707e-03,7,7,31,HRSA(f=3),6,357.70,0.0052,
1.0000000000,1.000000e-02,1,97,5.766,7,8.462391e-03,7,7,37,HRSA(f=3),6,355.88,0.0025,
1.5707963268,1.000000e-02,1,98,5.708,7,5.177530e-03,7,7,38,HRSA(f=3),6,354.97,0.0079,
2.0000000000,1.000000e-02,1,103,5.924,7,8.876233e-03,7,7,,,,,,no_hrsa_baseline
2.5000000000,1.000000e-02,1,118,14.488,8,6.752951e-04,7,"7,8",,,,,,no_hrsa_baseline
3.0000000000,1.000000e-02,1,109,5.802,7,8.214273e-03,7,7,,,,,,no_hrsa_baseline
3.5000000000,1.000000e-02,1,84,11.201,8,7.071694e-03,7,"7,8",,,,,,no_hrsa_baseline
4.5000000000,1.000000e-02,1,96,5.778,7,9.232760e-03,7,7,,,,,,no_hrsa_baseline
5.5000000000,1.000000e-02,1,124,18.678,9,1.627155e-03,7,"7,8,9",,,,,,no_hrsa_baseline
0.0500000000,1.000000e-03,0,-1,97.523,,,9,"9,10,11,12,13,14,15",,,,,,"err:no (x_1,x_2,x_3) triple with frob <= eps=0.001 found across f in [9, 15];no_hrsa_baseline"
0.5000000000,1.000000e-03,1,180,39.482,12,1.598377e-04,9,"9,10,11,12",29,HRSA(f=3),6,83.18,0.0209,
1.0000000000,1.000000e-03,1,242,102.716,15,4.971304e-04,9,"9,10,11,12,13,14,15",27,HRSA(f=3),6,338.10,0.0183,
1.5707963268,1.000000e-03,1,202,56.130,13,2.097795e-04,9,"9,10,11,12,13",53,HRSA(f=3),6,339.38,0.0236,
2.0000000000,1.000000e-03,0,-1,97.515,,,9,"9,10,11,12,13,14,15",,,,,,"err:no (x_1,x_2,x_3) triple with frob <= eps=0.001 found across f in [9, 15];no_hrsa_baseline"
2.5000000000,1.000000e-03,1,224,100.193,15,8.486003e-04,9,"9,10,11,12,13,14,15",,,,,,no_hrsa_baseline
3.0000000000,1.000000e-03,1,180,38.789,12,8.714142e-04,9,"9,10,11,12",,,,,,no_hrsa_baseline
3.5000000000,1.000000e-03,1,251,96.797,15,1.997178e-04,9,"9,10,11,12,13,14,15",,,,,,no_hrsa_baseline
4.5000000000,1.000000e-03,0,-1,122.673,,,9,"9,10,11,12,13,14,15",,,,,,"err:no (x_1,x_2,x_3) triple with frob <= eps=0.001 found across f in [9, 15];no_hrsa_baseline"
5.5000000000,1.000000e-03,0,-1,109.434,,,9,"9,10,11,12,13,14,15",,,,,,"err:no (x_1,x_2,x_3) triple with frob <= eps=0.001 found across f in [9, 15];no_hrsa_baseline"
