# angle target_eps D_gates eps_diff_val result
-0.0026393686 0.0001 12 3.94226e-05 Success
-0.0257339429 0.1 0 0.0181965 Success
-0.0476733304 0.1 0 0.0337093 Success
-0.0499669475 1 0 0.035331 Success
-0.0612779770 0.001 8 0.000579287 Success
-0.0650115897 1 0 0.0459681 Success
-0.0736227681 0.1 0 0.0520562 Success
-0.0740538206 0.001 8 0.000731473 Success
-0.0832683290 0.01 8 0.00152795 Success
-0.0917923774 0.0001 12 1.73077e-05 Success
-0.1032926902 0.001 8 0.000634513 Success
-0.1062242925 0.01 8 0.000509128 Success
-0.1125311408 0.01 8 0.00152747 Success
-0.1178010552 0.01 8 0.000210241 Success
-0.1258814137 1 0 0.0889969 Success
-0.1294937227 0.1 0 0.0915499 Success
-0.1318745378 0.01 8 0.000991053 Success
-0.1823672036 0.01 8 0.000882368 Success
-0.2036091749 0.001 8 0.000677057 Success
-0.2327973969 0.001 8 0.000826756 Success
-0.2341122867 0.1 4 0.0191597 Success
-0.2408420493 0.1 4 0.0201441 Success
-0.2519635285 0.0001 8 7.39325e-05 Success
-0.2527889222 1 0 0.17863 Success
-0.2696436345 1 0 0.190522 Success
-0.2799351512 0.01 8 0.000485988 Success
-0.2802448144 1 0 0.198001 Success
-0.2837738614 0.01 8 0.00087239 Success
-0.2903465914 0.001 8 0.000370806 Success
-0.2934917373 0.01 8 0.00103218 Success
-0.2939610926 0.01 8 0.000724276 Success
-0.3075300996 1 0 0.217242 Success
-0.3213445338 0.0001 12 4.5112e-05 Success
-0.3237895571 1 0 0.228704 Success
-0.3394432669 0.001 12 3.15728e-05 Success
-0.3551636325 0.01 4 0.00936696 Success
-0.3604087965 0.01 8 0.000657048 Success
-0.3695365495 0.001 8 0.000704338 Success
-0.3783649961 0.001 8 0.000869981 Success
-0.3807804582 1 0 0.268846 Success
-0.3863653476 0.01 8 0.00101567 Success
-0.3866060532 1 0 0.272946 Success
-0.3879638804 0.001 12 2.41559e-05 Success
-0.3918381768 0.01 8 0.000959306 Success
-0.3967791973 1 0 0.280105 Success
-0.3976603860 0.01 8 0.000962456 Success
-0.3977166461 1 0 0.280765 Success
