theta,epsilon,method,N_D,f,achieved_frob,validate_frob,wall_s,all_checks_pass
0.5,0.001,TIMEOUT,,,,,1800,false
0.5,0.005,HRSA(f=3),45,6,0.00324553,0.0032455271537330335,127,true
0.5,0.01,HRSA(f=3),49,6,0.00701867,0.007018667242961966,168,true
0.5,0.05,HRSA(f=2),45,4,0.0320004,0.032000360632256544,50,true
0.5,0.1,HRSA(f=2),17,4,0.0687089,0.06870888501647815,146,true
0.5,0.3,bidir(4+4),8,2,0.214639,0.21463891190640758,1008,true
0.5,0.5,Direct,0,0,0.352633,0.3526333976772774,0,true
0.7854,0.001,HRSA(f=3),37,6,0.00069552,0.0006955195516147185,113,true
0.7854,0.005,HRSA(f=3),40,6,0.00324273,0.003242726836892683,165,true
0.7854,0.01,HRSA(f=3),35,6,0.0070134,0.007013396151935991,159,true
0.7854,0.05,HRSA(f=2),23,4,0.0242237,0.024223683859666466,157,true
0.7854,0.1,HRSA(f=2),35,4,0.0696203,0.06962032996287146,85,true
0.7854,0.3,bidir(4+4),8,2,0.238517,0.23851691791100227,691,true
0.7854,0.5,Direct,1,0,0.430269,0.43026862824824164,0,true
1.0053,0.001,TIMEOUT,,,,,1800,false
1.0053,0.005,HRSA(f=3),39,6,0.00341907,0.003419073472694471,91,true
1.0053,0.01,HRSA(f=3),43,6,0.00700873,0.007008728155449075,110,true
1.0053,0.05,HRSA(f=2),21,4,0.0327772,0.032777183761818283,79,true
1.0053,0.1,HRSA(f=2),19,4,0.0678294,0.06782942618196115,94,true
1.0053,0.3,Direct,1,0,0.276013,0.27601291100451886,0,true
1.0053,0.5,Direct,1,0,0.276013,0.27601291100451886,1,true
1.5708,0.001,HRSA(f=3),41,6,0.000627289,0.0006272892131608153,131,true
1.5708,0.005,HRSA(f=3),43,6,0.00334939,0.0033493878472126114,145,true
1.5708,0.01,HRSA(f=3),43,6,0.00705139,0.007051391158064052,107,true
1.5708,0.05,HRSA(f=2),20,4,0.0322811,0.03228108318245317,173,true
1.5708,0.1,HRSA(f=2),29,4,0.0676522,0.06765222214272595,249,true
1.5708,0.3,Direct,1,0,0.123377,0.12337685326501267,0,true
1.5708,0.5,Direct,1,0,0.123377,0.12337685326501267,1,true
2.0106,0.001,TIMEOUT,,,,,1800,false
2.0106,0.005,HRSA(f=3),46,6,0.00317948,0.0031794800071496087,180,true
2.0106,0.01,HRSA(f=3),39,6,0.00704806,0.007048061415165562,172,true
2.0106,0.05,HRSA(f=2),23,4,0.02451,0.02450999490015478,58,true
2.0106,0.1,HRSA(f=2),33,4,0.0693768,0.06937680073521091,130,true
2.0106,0.3,bidir(4+4),8,2,0.239619,0.23961859437263347,602,true
2.0106,0.5,Direct,1,0,0.432696,0.4326958037207132,0,true
2.14,0.001,TIMEOUT,,,,,1800,false
2.14,0.005,HRSA(f=3),51,6,0.00308625,0.00308624583787072,221,true
2.14,0.01,HRSA(f=3),49,6,0.00689235,0.00689235452535069,207,true
2.14,0.05,HRSA(f=2),19,4,0.0314136,0.03141359609524505,173,true
2.14,0.1,HRSA(f=0),0,0,0.0322468,0.03224683372603272,0,true
2.14,0.3,bidir(4+4),8,2,0.252973,0.2529729739211869,599,true
2.14,0.5,Direct,1,0,0.459362,0.459362362496233,0,true
2.5133,0.001,TIMEOUT,,,,,1800,false
2.5133,0.005,HRSA(f=3),51,6,0.00296,0.0029599969544721757,213,true
2.5133,0.01,HRSA(f=3),39,6,0.0069861,0.006986099896701591,211,true
2.5133,0.05,HRSA(f=2),33,4,0.035255,0.035255022046961106,189,true
2.5133,0.1,HRSA(f=2),19,4,0.0686511,0.06865110522022369,187,true
2.5133,0.3,Direct,1,0,0.197283,0.1972828491403448,1,true
2.5133,0.5,Direct,1,0,0.197283,0.1972828491403448,1,true
2.879,0.001,TIMEOUT,,,,,1800,false
2.879,0.005,HRSA(f=3),29,6,0.00343091,0.003430905960582099,255,true
2.879,0.01,HRSA(f=3),62,6,0.00697975,0.006979753619191769,386,true
2.879,0.05,HRSA(f=2),33,4,0.025839,0.025838965101411492,331,true
2.879,0.1,Direct,1,0,0.061141,0.0611410212100844,0,true
2.879,0.3,Direct,1,0,0.061141,0.0611410212100844,1,true
2.879,0.5,Direct,1,0,0.061141,0.0611410212100844,0,true
