theta,epsilon,method,N_D,f,achieved_frob,validate_frob,wall_s,all_checks_pass
0.5,0.001,TIMEOUT,,,,,1800,false
0.5,0.005,HRSA(f=3),48,6,0.0030644,0.003064400961984326,25,true
0.5,0.01,HRSA(f=3),46,6,0.00701867,0.007018667242961969,25,true
0.5,0.05,HRSA(f=2),17,4,0.0339804,0.0339803531356244,19,true
0.5,0.1,HRSA(f=2),17,4,0.0687089,0.06870888501647812,17,true
0.5,0.3,bidir(4+4),8,2,0.214639,0.21463891190640752,659,true
0.5,0.5,Direct,0,0,0.352633,0.3526333976772774,0,true
0.7854,0.001,HRSA(f=3),36,6,0.00069552,0.0006955195516147133,29,true
0.7854,0.005,HRSA(f=3),32,6,0.00324273,0.00324272683689265,21,true
0.7854,0.01,HRSA(f=3),32,6,0.00701835,0.0070183544445324144,31,true
0.7854,0.05,HRSA(f=2),33,4,0.026043,0.026043048442934088,17,true
0.7854,0.1,HRSA(f=2),19,4,0.0684062,0.0684061689218002,23,true
0.7854,0.3,bidir(4+4),8,2,0.238517,0.23851691791100227,200,true
0.7854,0.5,Direct,1,0,0.430269,0.43026862824824164,0,true
1.0053,0.001,TIMEOUT,,,,,1800,false
1.0053,0.005,HRSA(f=3),39,6,0.00341907,0.0034190734726944677,26,true
1.0053,0.01,HRSA(f=3),57,6,0.00704469,0.007044693896428422,24,true
1.0053,0.05,HRSA(f=2),41,4,0.0341796,0.03417962606256497,19,true
1.0053,0.1,HRSA(f=2),19,4,0.0683637,0.06836369433475578,17,true
1.0053,0.3,Direct,1,0,0.276013,0.27601291100451886,0,true
1.0053,0.5,Direct,1,0,0.276013,0.27601291100451886,0,true
1.5708,0.001,HRSA(f=3),41,6,0.000627289,0.0006272892131608046,25,true
1.5708,0.005,HRSA(f=3),43,6,0.00334939,0.0033493878472126114,25,true
1.5708,0.01,HRSA(f=3),42,6,0.00705139,0.0070513911580640425,32,true
1.5708,0.05,HRSA(f=2),21,4,0.0322811,0.03228108318245323,22,true
1.5708,0.1,HRSA(f=2),20,4,0.0676889,0.06768888623350901,110,true
1.5708,0.3,Direct,1,0,0.123377,0.12337685326501267,0,true
1.5708,0.5,Direct,1,0,0.123377,0.12337685326501267,0,true
2.0106,0.001,TIMEOUT,,,,,1800,false
2.0106,0.005,HRSA(f=3),34,6,0.00345794,0.0034579419259498983,24,true
2.0106,0.01,HRSA(f=3),39,6,0.00704806,0.007048061415165579,27,true
2.0106,0.05,HRSA(f=2),23,4,0.02451,0.024509994900154857,21,true
2.0106,0.1,HRSA(f=2),19,4,0.0686648,0.06866483104016417,20,true
2.0106,0.3,bidir(4+4),8,2,0.239619,0.23961859437263347,284,true
2.0106,0.5,Direct,1,0,0.432696,0.4326958037207132,0,true
2.14,0.001,TIMEOUT,,,,,1800,false
2.14,0.005,HRSA(f=3),47,6,0.00308625,0.0030862458378707715,26,true
2.14,0.01,HRSA(f=3),43,6,0.00689235,0.0068923545253506985,31,true
2.14,0.05,HRSA(f=2),19,4,0.0314136,0.03141359609524507,21,true
2.14,0.1,HRSA(f=0),1,0,0.0322468,,0,true
2.14,0.3,bidir(4+4),8,2,0.252973,0.25297297392118684,285,true
2.14,0.5,Direct,1,0,0.459362,0.459362362496233,0,true
2.5133,0.001,TIMEOUT,,,,,1800,false
2.5133,0.005,HRSA(f=3),39,6,0.003189,0.003188997167597056,28,true
2.5133,0.01,HRSA(f=3),39,6,0.0069861,0.006986099896701556,32,true
2.5133,0.05,HRSA(f=2),13,4,0.035255,0.035255022046961126,20,true
2.5133,0.1,HRSA(f=2),27,4,0.0685175,0.06851748150914475,19,true
2.5133,0.3,Direct,1,0,0.197283,0.1972828491403448,0,true
2.5133,0.5,Direct,1,0,0.197283,0.1972828491403448,0,true
2.879,0.001,TIMEOUT,,,,,1800,false
2.879,0.005,HRSA(f=3),29,6,0.00343091,0.0034309059605821075,43,true
2.879,0.01,HRSA(f=3),52,6,0.00697975,0.006979753619191802,65,true
2.879,0.05,HRSA(f=2),33,4,0.025839,0.025838965101411458,83,true
2.879,0.1,Direct,1,0,0.061141,0.0611410212100844,0,true
2.879,0.3,Direct,1,0,0.061141,0.0611410212100844,0,true
2.879,0.5,Direct,1,0,0.061141,0.0611410212100844,0,true
