theta,epsilon,method,N_D,N_D_only,N_R_only,N_T,f,achieved_frob,validate_frob,wall_s,all_checks_pass
0.5,0.001,TIMEOUT,,,,,,,,1800,false
0.5,0.005,HRSA(f=3),50,50,0,500,6,0.0030644,0.0030644009619843534,,true
0.5,0.01,HRSA(f=3),47,42,5,465,6,0.00702114,0.007021140478028777,,true
0.5,0.05,HRSA(f=2),21,17,4,206,4,0.0339804,0.03398035313562442,,true
0.5,0.1,HRSA(f=2),20,17,3,197,4,0.0687089,0.06870888501647812,,true
0.5,0.3,bidir(4+4),8,,,,2,0.214639,0.21463891190640758,,true
0.5,0.5,SignExtClifford,0,,,,0,0.352633,0.3526333976772774,,true
0.7854,0.001,HRSA(f=3),41,36,5,405,6,0.00069552,0.0006955195516147133,,true
0.7854,0.005,HRSA(f=3),49,47,2,488,6,0.00327228,0.003272275504070084,,true
0.7854,0.01,HRSA(f=3),34,32,2,338,6,0.00701835,0.0070183544445324144,,true
0.7854,0.05,HRSA(f=2),33,33,0,330,4,0.026043,0.026043048442934032,,true
0.7854,0.1,HRSA(f=2),23,22,1,229,4,0.0696203,0.06962032996287143,,true
0.7854,0.3,bidir(4+4),8,,,,2,0.238517,0.23851691791100227,,true
0.7854,0.5,Direct,1,,,,0,0.430269,0.43026862824824164,,true
1.0053,0.001,TIMEOUT,,,,,,,,1800,false
1.0053,0.005,HRSA(f=3),40,39,1,399,6,0.00341907,0.0034190734726944594,,true
1.0053,0.01,HRSA(f=3),48,43,5,475,6,0.00700873,0.007008728155449064,,true
1.0053,0.05,HRSA(f=2),41,41,0,410,4,0.0341796,0.03417962606256496,,true
1.0053,0.1,HRSA(f=2),20,16,4,196,4,0.0678294,0.06782942618196124,,true
1.0053,0.3,Direct,1,,,,0,0.276013,0.27601291100451886,,true
1.0053,0.5,Direct,1,,,,0,0.276013,0.27601291100451886,,true
1.5708,0.001,HRSA(f=3),50,47,3,497,6,0.000497837,0.0004978369743957757,,true
1.5708,0.005,HRSA(f=3),45,43,2,448,6,0.00334939,0.0033493878472126014,,true
1.5708,0.01,HRSA(f=3),46,40,6,454,6,0.00705139,0.007051391158064069,,true
1.5708,0.05,HRSA(f=2),20,20,0,200,4,0.0322811,0.03228108318245314,,true
1.5708,0.1,HRSA(f=2),30,25,5,295,4,0.0676522,0.06765222214272595,,true
1.5708,0.3,Direct,1,,,,0,0.123377,0.12337685326501267,,true
1.5708,0.5,SignExtClifford,1,,,,0,0.369181,0.3691812474373102,,true
2.0106,0.001,TIMEOUT,,,,,,,,1800,false
2.0106,0.005,HRSA(f=3),38,34,4,376,6,0.00345794,0.0034579419259498983,,true
2.0106,0.01,HRSA(f=3),40,39,1,399,6,0.00704806,0.007048061415165538,,true
2.0106,0.05,HRSA(f=2),25,23,2,248,4,0.02451,0.02450999490015478,,true
2.0106,0.1,SignExtClifford,1,,,,0,0.0592478,0.05924775141944189,,true
2.0106,0.3,SignExtClifford,1,,,,0,0.0592478,0.05924775141944189,,true
2.0106,0.5,SignExtClifford,1,,,,0,0.0592478,0.05924775141944189,,true
2.14,0.001,TIMEOUT,,,,,,,,1800,false
2.14,0.005,HRSA(f=3),50,47,3,497,6,0.00308625,0.0030862458378707715,,true
2.14,0.01,HRSA(f=3),44,43,1,439,6,0.00689235,0.0068923545253506925,,true
2.14,0.05,SignExtClifford,1,,,,0,0.0322468,0.03224683372603272,,true
2.14,0.1,SignExtClifford,1,,,,0,0.0322468,0.03224683372603272,,true
2.14,0.3,SignExtClifford,1,,,,0,0.0322468,0.03224683372603272,,true
2.14,0.5,SignExtClifford,1,,,,0,0.0322468,0.03224683372603272,,true
2.5133,0.001,TIMEOUT,,,,,,,,1800,false
2.5133,0.005,HRSA(f=3),53,49,4,526,6,0.00327507,0.0032750711982299607,,true
2.5133,0.01,HRSA(f=3),41,39,2,408,6,0.0069861,0.006986099896701591,,true
2.5133,0.05,HRSA(f=2),17,13,4,166,4,0.0339622,0.033962173073063505,,true
2.5133,0.1,HRSA(f=2),26,23,3,257,4,0.0687201,0.06872014057161081,,true
2.5133,0.3,SignExtClifford,1,,,,0,0.295669,0.29566933846311216,,true
2.5133,0.5,SignExtClifford,1,,,,0,0.295669,0.29566933846311216,,true
2.879,0.001,TIMEOUT,,,,,,,,1800,false
2.879,0.005,HRSA(f=3),34,29,5,335,6,0.00343091,0.0034309059605821123,,true
2.879,0.01,HRSA(f=3),54,52,2,538,6,0.00697975,0.006979753619191781,,true
2.879,0.05,HRSA(f=2),34,33,1,339,4,0.025839,0.025838965101411454,,true
2.879,0.1,Direct,1,,,,0,0.061141,0.0611410212100844,,true
2.879,0.3,Direct,1,,,,0,0.061141,0.0611410212100844,,true
2.879,0.5,Direct,1,,,,0,0.061141,0.0611410212100844,,true
