max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
0,0,0.007853981633974483,0.5,0.25,True,0.005553600104217444,0,0,zeta9-householder,1.5798671245574951,False
0,1,0.02356194490192345,0.5,0.25,True,0.0166607146692686,0,0,zeta9-householder,1.9278018474578857,False
0,2,0.039269908169872414,0.5,0.25,True,0.027767572305489263,0,0,zeta9-householder,1.9347541332244873,False
0,3,0.05497787143782139,0.5,0.25,True,0.03887400173139487,0,0,zeta9-householder,1.9268243312835693,False
0,4,0.07068583470577035,0.5,0.25,True,0.04997983167210435,0,0,zeta9-householder,1.8738033771514893,False
0,5,0.08639379797371932,0.5,0.25,True,0.06108489086198145,0,0,zeta9-householder,1.8786942958831787,False
0,6,0.10210176124166828,0.5,0.25,True,0.07218900804727586,0,0,zeta9-householder,1.9317705631256104,False
0,7,0.11780972450961726,0.5,0.25,True,0.08329201198876413,0,0,zeta9-householder,1.924767017364502,False
0,8,0.13351768777756623,0.5,0.25,True,0.09439373146439044,0,0,zeta9-householder,1.9426100254058838,False
0,9,0.1492256510455152,0.5,0.25,True,0.10549399527190693,0,0,zeta9-householder,1.9927785396575928,False
0,10,0.16493361431346415,0.5,0.25,True,0.1165926322315141,0,0,zeta9-householder,1.6260528564453125,False
0,11,0.1806415775814131,0.5,0.25,True,0.1276894711885003,0,0,zeta9-householder,1.9395251274108887,False
0,12,0.1963495408493621,0.5,0.25,True,0.13878434101588139,0,0,zeta9-householder,1.9287471771240234,False
0,13,0.21205750411731106,0.5,0.25,True,0.14987707061703964,0,0,zeta9-householder,1.9827609062194824,False
0,14,0.22776546738526002,0.5,0.25,True,0.16096748892836218,0,0,zeta9-householder,1.9841670989990234,False
0,15,0.24347343065320898,0.5,0.25,True,0.17205542492187925,0,0,zeta9-householder,2.0303313732147217,False
0,16,0.25918139392115797,0.5,0.25,True,0.18314070760790135,0,0,zeta9-householder,2.029494047164917,False
0,17,0.2748893571891069,0.5,0.25,True,0.19422316603765627,0,0,zeta9-householder,1.9879393577575684,False
0,18,0.2905973204570559,0.5,0.25,True,0.2053026293059255,0,0,zeta9-householder,2.0292890071868896,False
0,19,0.3063052837250049,0.5,0.25,True,0.21637892655367935,0,0,zeta9-householder,1.9802281856536865,False
0,20,0.3220132469929538,0.5,0.25,True,0.22745188697071228,0,0,zeta9-householder,1.6764576435089111,False
0,21,0.3377212102609028,0.5,0.25,True,0.2385213397982768,0,0,zeta9-householder,1.9787142276763916,False
0,22,0.3534291735288518,0.5,0.25,True,0.243439926068547,0,1,zeta9-householder,1.9796998500823975,False
0,23,0.3691371367968007,0.5,0.25,True,0.2323720869670333,0,1,zeta9-householder,1.9778521060943604,False
0,24,0.3848451000647497,0.5,0.25,True,0.22130066440048057,0,1,zeta9-householder,1.9985532760620117,False
0,25,0.40055306333269863,0.5,0.25,True,0.21022582910392087,0,1,zeta9-householder,1.9838972091674805,False
0,26,0.4162610266006476,0.5,0.25,True,0.19914775186501468,0,1,zeta9-householder,1.9316647052764893,False
0,27,0.4319689898685966,0.5,0.25,True,0.1880666035214172,0,1,zeta9-householder,2.034024953842163,False
